Station Name,model and version,XL2 S/N
LakeHodges_FELICITA,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911368
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
PT Level,03/10/2020,00:00:00,3.43,G
Aliquot_Num,03/10/2020,00:00:00,0,G
Flow_cfs,03/10/2020,00:00:00,0.49,G
FlowVolume,03/10/2020,00:00:00,0.00,G
PT Level,03/10/2020,00:05:00,3.43,G
Flow_cfs,03/10/2020,00:05:00,0.49,G
Aliquot_Num,03/10/2020,00:05:00,0,G
FlowVolume,03/10/2020,00:05:00,0.00,G
PT Level,03/10/2020,00:10:00,3.42,G
Flow_cfs,03/10/2020,00:10:00,0.49,G
Aliquot_Num,03/10/2020,00:10:00,0,G
FlowVolume,03/10/2020,00:10:00,0.00,G
PT Level,03/10/2020,00:15:00,3.41,G
Flow_cfs,03/10/2020,00:15:00,0.48,G
Aliquot_Num,03/10/2020,00:15:00,0,G
FlowVolume,03/10/2020,00:15:00,0.00,G
PT Level,03/10/2020,00:20:00,3.41,G
Aliquot_Num,03/10/2020,00:20:00,0,G
Flow_cfs,03/10/2020,00:20:00,0.48,G
FlowVolume,03/10/2020,00:20:00,0.00,G
PT Level,03/10/2020,00:25:00,3.42,G
Aliquot_Num,03/10/2020,00:25:00,0,G
Flow_cfs,03/10/2020,00:25:00,0.49,G
FlowVolume,03/10/2020,00:25:00,0.00,G
PT Level,03/10/2020,00:30:00,3.40,G
Flow_cfs,03/10/2020,00:30:00,0.48,G
Aliquot_Num,03/10/2020,00:30:00,0,G
FlowVolume,03/10/2020,00:30:00,0.00,G
PT Level,03/10/2020,00:35:00,3.41,G
Flow_cfs,03/10/2020,00:35:00,0.48,G
Aliquot_Num,03/10/2020,00:35:00,0,G
FlowVolume,03/10/2020,00:35:00,0.00,G
PT Level,03/10/2020,00:40:00,3.43,G
Aliquot_Num,03/10/2020,00:40:00,0,G
Flow_cfs,03/10/2020,00:40:00,0.49,G
FlowVolume,03/10/2020,00:40:00,0.00,G
PT Level,03/10/2020,00:45:00,3.44,G
Aliquot_Num,03/10/2020,00:45:00,0,G
Flow_cfs,03/10/2020,00:45:00,0.50,G
FlowVolume,03/10/2020,00:45:00,0.00,G
PT Level,03/10/2020,00:50:00,3.44,G
Aliquot_Num,03/10/2020,00:50:00,0,G
Flow_cfs,03/10/2020,00:50:00,0.50,G
FlowVolume,03/10/2020,00:50:00,0.00,G
PT Level,03/10/2020,00:55:00,3.45,G
Flow_cfs,03/10/2020,00:55:00,0.50,G
Aliquot_Num,03/10/2020,00:55:00,0,G
FlowVolume,03/10/2020,00:55:00,0.00,G
PT Level,03/10/2020,01:00:00,3.45,G
Aliquot_Num,03/10/2020,01:00:00,0,G
Flow_cfs,03/10/2020,01:00:00,0.50,G
FlowVolume,03/10/2020,01:00:00,0.00,G
PT Level,03/10/2020,01:05:00,3.48,G
Aliquot_Num,03/10/2020,01:05:00,0,G
Flow_cfs,03/10/2020,01:05:00,0.51,G
FlowVolume,03/10/2020,01:05:00,0.00,G
PT Level,03/10/2020,01:10:00,3.52,G
Flow_cfs,03/10/2020,01:10:00,0.52,G
Aliquot_Num,03/10/2020,01:10:00,0,G
FlowVolume,03/10/2020,01:10:00,0.00,G
PT Level,03/10/2020,01:15:00,3.54,G
Flow_cfs,03/10/2020,01:15:00,0.53,G
Aliquot_Num,03/10/2020,01:15:00,0,G
FlowVolume,03/10/2020,01:15:00,0.00,G
PT Level,03/10/2020,01:20:00,3.55,G
Aliquot_Num,03/10/2020,01:20:00,0,G
Flow_cfs,03/10/2020,01:20:00,0.54,G
FlowVolume,03/10/2020,01:20:00,0.00,G
PT Level,03/10/2020,01:25:00,3.55,G
Aliquot_Num,03/10/2020,01:25:00,0,G
Flow_cfs,03/10/2020,01:25:00,0.54,G
FlowVolume,03/10/2020,01:25:00,0.00,G
PT Level,03/10/2020,01:30:00,3.53,G
Flow_cfs,03/10/2020,01:30:00,0.53,G
Aliquot_Num,03/10/2020,01:30:00,0,G
FlowVolume,03/10/2020,01:30:00,0.00,G
PT Level,03/10/2020,01:35:00,3.52,G
Flow_cfs,03/10/2020,01:35:00,0.52,G
Aliquot_Num,03/10/2020,01:35:00,0,G
FlowVolume,03/10/2020,01:35:00,0.00,G
PT Level,03/10/2020,01:40:00,3.53,G
Flow_cfs,03/10/2020,01:40:00,0.53,G
Aliquot_Num,03/10/2020,01:40:00,0,G
FlowVolume,03/10/2020,01:40:00,0.00,G
PT Level,03/10/2020,01:45:00,3.55,G
Flow_cfs,03/10/2020,01:45:00,0.54,G
Aliquot_Num,03/10/2020,01:45:00,0,G
FlowVolume,03/10/2020,01:45:00,0.00,G
PT Level,03/10/2020,01:50:00,3.54,G
Flow_cfs,03/10/2020,01:50:00,0.53,G
Aliquot_Num,03/10/2020,01:50:00,0,G
FlowVolume,03/10/2020,01:50:00,0.00,G
PT Level,03/10/2020,01:55:00,3.53,G
Flow_cfs,03/10/2020,01:55:00,0.53,G
Aliquot_Num,03/10/2020,01:55:00,0,G
FlowVolume,03/10/2020,01:55:00,0.00,G
PT Level,03/10/2020,02:00:00,3.52,G
Flow_cfs,03/10/2020,02:00:00,0.52,G
Aliquot_Num,03/10/2020,02:00:00,0,G
FlowVolume,03/10/2020,02:00:00,0.00,G
PT Level,03/10/2020,02:05:00,3.53,G
Flow_cfs,03/10/2020,02:05:00,0.53,G
Aliquot_Num,03/10/2020,02:05:00,0,G
FlowVolume,03/10/2020,02:05:00,0.00,G
PT Level,03/10/2020,02:10:00,3.53,G
Flow_cfs,03/10/2020,02:10:00,0.53,G
Aliquot_Num,03/10/2020,02:10:00,0,G
FlowVolume,03/10/2020,02:10:00,0.00,G
PT Level,03/10/2020,02:15:00,3.51,G
Aliquot_Num,03/10/2020,02:15:00,0,G
Flow_cfs,03/10/2020,02:15:00,0.52,G
FlowVolume,03/10/2020,02:15:00,0.00,G
PT Level,03/10/2020,02:20:00,3.50,G
Aliquot_Num,03/10/2020,02:20:00,0,G
Flow_cfs,03/10/2020,02:20:00,0.52,G
FlowVolume,03/10/2020,02:20:00,0.00,G
PT Level,03/10/2020,02:25:00,3.54,G
Aliquot_Num,03/10/2020,02:25:00,0,G
Flow_cfs,03/10/2020,02:25:00,0.53,G
FlowVolume,03/10/2020,02:25:00,0.00,G
PT Level,03/10/2020,02:30:00,3.57,G
Flow_cfs,03/10/2020,02:30:00,0.54,G
Aliquot_Num,03/10/2020,02:30:00,0,G
FlowVolume,03/10/2020,02:30:00,0.00,G
PT Level,03/10/2020,02:35:00,3.61,G
Aliquot_Num,03/10/2020,02:35:00,0,G
Flow_cfs,03/10/2020,02:35:00,0.56,G
FlowVolume,03/10/2020,02:35:00,0.00,G
PT Level,03/10/2020,02:40:00,3.70,G
Aliquot_Num,03/10/2020,02:40:00,0,G
Flow_cfs,03/10/2020,02:40:00,0.59,G
FlowVolume,03/10/2020,02:40:00,0.00,G
PT Level,03/10/2020,02:45:00,3.73,G
Aliquot_Num,03/10/2020,02:45:00,0,G
Flow_cfs,03/10/2020,02:45:00,0.60,G
FlowVolume,03/10/2020,02:45:00,0.00,G
PT Level,03/10/2020,02:50:00,3.84,G
Flow_cfs,03/10/2020,02:50:00,0.65,G
Aliquot_Num,03/10/2020,02:50:00,0,G
FlowVolume,03/10/2020,02:50:00,0.00,G
PT Level,03/10/2020,02:55:00,3.92,G
Aliquot_Num,03/10/2020,02:55:00,0,G
Flow_cfs,03/10/2020,02:55:00,0.70,G
FlowVolume,03/10/2020,02:55:00,0.00,G
PT Level,03/10/2020,03:00:00,4.27,G
Flow_cfs,03/10/2020,03:00:00,0.88,G
Aliquot_Num,03/10/2020,03:00:00,0,G
FlowVolume,03/10/2020,03:00:00,0.00,G
PT Level,03/10/2020,03:05:00,4.81,G
Alarm In,03/10/2020,03:05:00,1,G
Setup Change,03/10/2020,03:05:00,0,G
Flow_cfs,03/10/2020,03:05:00,1.24,G
Aliquot_Num,03/10/2020,03:05:00,0,G
FlowVolume,03/10/2020,03:05:00,0.00,G
PT Level,03/10/2020,03:06:00,4.85,G
Flow_cfs,03/10/2020,03:06:00,1.27,G
FlowVolume,03/10/2020,03:06:00,75.94,G
PT Level,03/10/2020,03:07:00,4.97,G
Flow_cfs,03/10/2020,03:07:00,1.36,G
FlowVolume,03/10/2020,03:07:00,157.50,G
PT Level,03/10/2020,03:08:00,5.26,G
Flow_cfs,03/10/2020,03:08:00,1.61,G
FlowVolume,03/10/2020,03:08:00,254.10,G
PT Level,03/10/2020,03:09:00,5.52,G
Flow_cfs,03/10/2020,03:09:00,1.86,G
FlowVolume,03/10/2020,03:09:00,365.53,G
Client Conn,03/10/2020,03:09:42,18,G
PT Level,03/10/2020,03:10:00,5.79,G
Aliquot_Num,03/10/2020,03:10:00,0,G
Flow_cfs,03/10/2020,03:10:00,2.13,G
