Station Name,model and version,XL2 S/N
LakeHodges_KITCARSON,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911373
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_Pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
PT Level,03/10/2020,00:00:00,5.11,G
Aliquot_Num,03/10/2020,00:00:00,1,G
Flow_cfs,03/10/2020,00:00:00,19.97,G
Curr_Pacing,03/10/2020,00:00:00,22000,G
FlowVolume,03/10/2020,00:00:00,7901.18,G
PT Level,03/10/2020,00:01:00,5.10,G
Flow_cfs,03/10/2020,00:01:00,19.94,G
FlowVolume,03/10/2020,00:01:00,9097.43,G
PT Level,03/10/2020,00:02:00,5.07,G
Flow_cfs,03/10/2020,00:02:00,19.84,G
FlowVolume,03/10/2020,00:02:00,10288.05,G
PT Level,03/10/2020,00:03:00,5.09,G
Flow_cfs,03/10/2020,00:03:00,19.91,G
FlowVolume,03/10/2020,00:03:00,11482.43,G
PT Level,03/10/2020,00:04:00,5.07,G
Flow_cfs,03/10/2020,00:04:00,19.84,G
FlowVolume,03/10/2020,00:04:00,12673.05,G
PT Level,03/10/2020,00:05:00,5.07,G
Aliquot_Num,03/10/2020,00:05:00,1,G
Flow_cfs,03/10/2020,00:05:00,19.84,G
Curr_Pacing,03/10/2020,00:05:00,22000,G
FlowVolume,03/10/2020,00:05:00,13863.68,G
PT Level,03/10/2020,00:06:00,5.04,G
Flow_cfs,03/10/2020,00:06:00,19.75,G
FlowVolume,03/10/2020,00:06:00,15048.68,G
PT Level,03/10/2020,00:07:00,5.04,G
Flow_cfs,03/10/2020,00:07:00,19.75,G
FlowVolume,03/10/2020,00:07:00,16233.68,G
PT Level,03/10/2020,00:08:00,5.04,G
Flow_cfs,03/10/2020,00:08:00,19.75,G
FlowVolume,03/10/2020,00:08:00,17418.68,G
PT Level,03/10/2020,00:09:00,5.03,G
Flow_cfs,03/10/2020,00:09:00,19.72,G
FlowVolume,03/10/2020,00:09:00,18601.80,G
PT Level,03/10/2020,00:10:00,5.01,G
Aliquot_Num,03/10/2020,00:10:00,1,G
Flow_cfs,03/10/2020,00:10:00,19.66,G
Curr_Pacing,03/10/2020,00:10:00,22000,G
FlowVolume,03/10/2020,00:10:00,19781.18,G
PT Level,03/10/2020,00:11:00,4.99,G
Alarm Out,03/10/2020,00:11:00,1,G
Setup Change,03/10/2020,00:11:00,0,G
Flow_cfs,03/10/2020,00:11:00,19.59,G
FlowVolume,03/10/2020,00:11:00,19781.18,G
PT Level,03/10/2020,00:15:00,4.94,G
Flow_cfs,03/10/2020,00:15:00,19.44,G
Aliquot_Num,03/10/2020,00:15:00,1,G
Curr_Pacing,03/10/2020,00:15:00,22000,G
FlowVolume,03/10/2020,00:15:00,19781.18,G
PT Level,03/10/2020,00:20:00,4.86,G
Aliquot_Num,03/10/2020,00:20:00,1,G
Flow_cfs,03/10/2020,00:20:00,19.22,G
Curr_Pacing,03/10/2020,00:20:00,22000,G
FlowVolume,03/10/2020,00:20:00,19781.18,G
Client Conn,03/10/2020,00:20:08,11,G
PT Level,03/10/2020,00:25:00,4.77,G
Aliquot_Num,03/10/2020,00:25:00,1,G
Flow_cfs,03/10/2020,00:25:00,18.94,G
Curr_Pacing,03/10/2020,00:25:00,22000,G
FlowVolume,03/10/2020,00:25:00,19781.18,G
PT Level,03/10/2020,00:30:00,4.69,G
Aliquot_Num,03/10/2020,00:30:00,1,G
Flow_cfs,03/10/2020,00:30:00,18.72,G
Curr_Pacing,03/10/2020,00:30:00,22000,G
FlowVolume,03/10/2020,00:30:00,19781.18,G
PT Level,03/10/2020,00:35:00,4.62,G
Aliquot_Num,03/10/2020,00:35:00,1,G
Flow_cfs,03/10/2020,00:35:00,18.50,G
Curr_Pacing,03/10/2020,00:35:00,22000,G
FlowVolume,03/10/2020,00:35:00,19781.18,G
PT Level,03/10/2020,00:40:00,4.57,G
Aliquot_Num,03/10/2020,00:40:00,1,G
Flow_cfs,03/10/2020,00:40:00,18.36,G
Curr_Pacing,03/10/2020,00:40:00,22000,G
FlowVolume,03/10/2020,00:40:00,19781.18,G
Client Conn,03/10/2020,00:43:13,12,G
Client Conn,03/10/2020,00:44:02,13,G
PT Level,03/10/2020,00:45:00,4.49,G
Aliquot_Num,03/10/2020,00:45:00,1,G
Flow_cfs,03/10/2020,00:45:00,18.14,G
Curr_Pacing,03/10/2020,00:45:00,22000,G
FlowVolume,03/10/2020,00:45:00,19781.18,G
PT Level,03/10/2020,00:50:00,4.47,G
Aliquot_Num,03/10/2020,00:50:00,1,G
Flow_cfs,03/10/2020,00:50:00,18.08,G
Curr_Pacing,03/10/2020,00:50:00,22000,G
FlowVolume,03/10/2020,00:50:00,19781.18,G
PT Level,03/10/2020,00:55:00,4.49,G
Aliquot_Num,03/10/2020,00:55:00,1,G
Flow_cfs,03/10/2020,00:55:00,18.14,G
Curr_Pacing,03/10/2020,00:55:00,22000,G
FlowVolume,03/10/2020,00:55:00,19781.18,G
PT Level,03/10/2020,01:00:00,4.54,G
Aliquot_Num,03/10/2020,01:00:00,1,G
Flow_cfs,03/10/2020,01:00:00,18.28,G
Curr_Pacing,03/10/2020,01:00:00,22000,G
FlowVolume,03/10/2020,01:00:00,19781.18,G
PT Level,03/10/2020,01:05:00,4.61,G
Flow_cfs,03/10/2020,01:05:00,18.47,G
Aliquot_Num,03/10/2020,01:05:00,1,G
Curr_Pacing,03/10/2020,01:05:00,22000,G
FlowVolume,03/10/2020,01:05:00,19781.18,G
PT Level,03/10/2020,01:10:00,4.67,G
Aliquot_Num,03/10/2020,01:10:00,1,G
Flow_cfs,03/10/2020,01:10:00,18.66,G
Curr_Pacing,03/10/2020,01:10:00,22000,G
FlowVolume,03/10/2020,01:10:00,19781.18,G
PT Level,03/10/2020,01:15:00,4.70,G
Aliquot_Num,03/10/2020,01:15:00,1,G
Flow_cfs,03/10/2020,01:15:00,18.75,G
Curr_Pacing,03/10/2020,01:15:00,22000,G
FlowVolume,03/10/2020,01:15:00,19781.18,G
PT Level,03/10/2020,01:20:00,4.72,G
Flow_cfs,03/10/2020,01:20:00,18.81,G
Aliquot_Num,03/10/2020,01:20:00,1,G
Curr_Pacing,03/10/2020,01:20:00,22000,G
FlowVolume,03/10/2020,01:20:00,19781.18,G
PT Level,03/10/2020,01:25:00,4.69,G
Aliquot_Num,03/10/2020,01:25:00,1,G
Flow_cfs,03/10/2020,01:25:00,18.72,G
Curr_Pacing,03/10/2020,01:25:00,22000,G
FlowVolume,03/10/2020,01:25:00,19781.18,G
PT Level,03/10/2020,01:30:00,4.66,G
Aliquot_Num,03/10/2020,01:30:00,1,G
Flow_cfs,03/10/2020,01:30:00,18.62,G
Curr_Pacing,03/10/2020,01:30:00,22000,G
FlowVolume,03/10/2020,01:30:00,19781.18,G
PT Level,03/10/2020,01:35:00,4.63,G
Flow_cfs,03/10/2020,01:35:00,18.53,G
Aliquot_Num,03/10/2020,01:35:00,1,G
Curr_Pacing,03/10/2020,01:35:00,22000,G
FlowVolume,03/10/2020,01:35:00,19781.18,G
PT Level,03/10/2020,01:40:00,4.57,G
Aliquot_Num,03/10/2020,01:40:00,1,G
Flow_cfs,03/10/2020,01:40:00,18.36,G
Curr_Pacing,03/10/2020,01:40:00,22000,G
FlowVolume,03/10/2020,01:40:00,19781.18,G
PT Level,03/10/2020,01:45:00,4.50,G
Aliquot_Num,03/10/2020,01:45:00,1,G
Flow_cfs,03/10/2020,01:45:00,18.17,G
Curr_Pacing,03/10/2020,01:45:00,22000,G
FlowVolume,03/10/2020,01:45:00,19781.18,G
PT Level,03/10/2020,01:50:00,4.46,G
Flow_cfs,03/10/2020,01:50:00,18.06,G
Aliquot_Num,03/10/2020,01:50:00,1,G
Curr_Pacing,03/10/2020,01:50:00,22000,G
FlowVolume,03/10/2020,01:50:00,19781.18,G
PT Level,03/10/2020,01:55:00,4.40,G
Aliquot_Num,03/10/2020,01:55:00,1,G
Flow_cfs,03/10/2020,01:55:00,17.89,G
Curr_Pacing,03/10/2020,01:55:00,22000,G
FlowVolume,03/10/2020,01:55:00,19781.18,G
PT Level,03/10/2020,02:00:00,4.37,G
Aliquot_Num,03/10/2020,02:00:00,1,G
Flow_cfs,03/10/2020,02:00:00,17.81,G
Curr_Pacing,03/10/2020,02:00:00,22000,G
FlowVolume,03/10/2020,02:00:00,19781.18,G
PT Level,03/10/2020,02:05:00,4.34,G
Aliquot_Num,03/10/2020,02:05:00,1,G
Flow_cfs,03/10/2020,02:05:00,17.72,G
Curr_Pacing,03/10/2020,02:05:00,22000,G
FlowVolume,03/10/2020,02:05:00,19781.18,G
PT Level,03/10/2020,02:10:00,4.31,G
Aliquot_Num,03/10/2020,02:10:00,1,G
Flow_cfs,03/10/2020,02:10:00,17.64,G
Curr_Pacing,03/10/2020,02:10:00,22000,G
FlowVolume,03/10/2020,02:10:00,19781.18,G
