Station Name,model and version,XL2 S/N
LakeHodges_MOONSONG,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911376
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
PT Level,03/09/2020,20:00:00,0.17,G
Aliquot_Num,03/09/2020,20:00:00,0,G
Flow_cfs,03/09/2020,20:00:00,0.04,G
FlowVolume,03/09/2020,20:00:00,0.00,G
PT Level,03/09/2020,20:05:00,0.19,G
Aliquot_Num,03/09/2020,20:05:00,0,G
Flow_cfs,03/09/2020,20:05:00,0.05,G
FlowVolume,03/09/2020,20:05:00,0.00,G
PT Level,03/09/2020,20:10:00,0.17,G
Flow_cfs,03/09/2020,20:10:00,0.04,G
Aliquot_Num,03/09/2020,20:10:00,0,G
FlowVolume,03/09/2020,20:10:00,0.00,G
PT Level,03/09/2020,20:15:00,0.17,G
Aliquot_Num,03/09/2020,20:15:00,0,G
Flow_cfs,03/09/2020,20:15:00,0.04,G
FlowVolume,03/09/2020,20:15:00,0.00,G
PT Level,03/09/2020,20:20:00,0.18,G
Aliquot_Num,03/09/2020,20:20:00,0,G
Flow_cfs,03/09/2020,20:20:00,0.05,G
FlowVolume,03/09/2020,20:20:00,0.00,G
PT Level,03/09/2020,20:25:00,0.17,G
Aliquot_Num,03/09/2020,20:25:00,0,G
Flow_cfs,03/09/2020,20:25:00,0.04,G
FlowVolume,03/09/2020,20:25:00,0.00,G
PT Level,03/09/2020,20:30:00,0.19,G
Flow_cfs,03/09/2020,20:30:00,0.05,G
Aliquot_Num,03/09/2020,20:30:00,0,G
FlowVolume,03/09/2020,20:30:00,0.00,G
PT Level,03/09/2020,20:35:00,0.19,G
Aliquot_Num,03/09/2020,20:35:00,0,G
Flow_cfs,03/09/2020,20:35:00,0.05,G
FlowVolume,03/09/2020,20:35:00,0.00,G
PT Level,03/09/2020,20:40:00,0.17,G
Aliquot_Num,03/09/2020,20:40:00,0,G
Flow_cfs,03/09/2020,20:40:00,0.04,G
FlowVolume,03/09/2020,20:40:00,0.00,G
PT Level,03/09/2020,20:45:00,0.17,G
Flow_cfs,03/09/2020,20:45:00,0.04,G
Aliquot_Num,03/09/2020,20:45:00,0,G
FlowVolume,03/09/2020,20:45:00,0.00,G
PT Level,03/09/2020,20:50:00,0.17,G
Flow_cfs,03/09/2020,20:50:00,0.04,G
Aliquot_Num,03/09/2020,20:50:00,0,G
FlowVolume,03/09/2020,20:50:00,0.00,G
PT Level,03/09/2020,20:55:00,0.18,G
Flow_cfs,03/09/2020,20:55:00,0.05,G
Aliquot_Num,03/09/2020,20:55:00,0,G
FlowVolume,03/09/2020,20:55:00,0.00,G
PT Level,03/09/2020,21:00:00,0.19,G
Aliquot_Num,03/09/2020,21:00:00,0,G
Flow_cfs,03/09/2020,21:00:00,0.05,G
FlowVolume,03/09/2020,21:00:00,0.00,G
PT Level,03/09/2020,21:05:00,0.17,G
Flow_cfs,03/09/2020,21:05:00,0.04,G
Aliquot_Num,03/09/2020,21:05:00,0,G
FlowVolume,03/09/2020,21:05:00,0.00,G
PT Level,03/09/2020,21:10:00,0.19,G
Flow_cfs,03/09/2020,21:10:00,0.05,G
Aliquot_Num,03/09/2020,21:10:00,0,G
FlowVolume,03/09/2020,21:10:00,0.00,G
PT Level,03/09/2020,21:15:00,0.17,G
Aliquot_Num,03/09/2020,21:15:00,0,G
Flow_cfs,03/09/2020,21:15:00,0.04,G
FlowVolume,03/09/2020,21:15:00,0.00,G
PT Level,03/09/2020,21:20:00,0.18,G
Aliquot_Num,03/09/2020,21:20:00,0,G
Flow_cfs,03/09/2020,21:20:00,0.05,G
FlowVolume,03/09/2020,21:20:00,0.00,G
PT Level,03/09/2020,21:25:00,0.19,G
Flow_cfs,03/09/2020,21:25:00,0.05,G
Aliquot_Num,03/09/2020,21:25:00,0,G
FlowVolume,03/09/2020,21:25:00,0.00,G
PT Level,03/09/2020,21:30:00,0.17,G
Aliquot_Num,03/09/2020,21:30:00,0,G
Flow_cfs,03/09/2020,21:30:00,0.04,G
FlowVolume,03/09/2020,21:30:00,0.00,G
PT Level,03/09/2020,21:35:00,0.19,G
Aliquot_Num,03/09/2020,21:35:00,0,G
Flow_cfs,03/09/2020,21:35:00,0.05,G
FlowVolume,03/09/2020,21:35:00,0.00,G
PT Level,03/09/2020,21:40:00,0.19,G
Aliquot_Num,03/09/2020,21:40:00,0,G
Flow_cfs,03/09/2020,21:40:00,0.05,G
FlowVolume,03/09/2020,21:40:00,0.00,G
PT Level,03/09/2020,21:45:00,0.17,G
Flow_cfs,03/09/2020,21:45:00,0.04,G
Aliquot_Num,03/09/2020,21:45:00,0,G
FlowVolume,03/09/2020,21:45:00,0.00,G
PT Level,03/09/2020,21:50:00,0.19,G
Aliquot_Num,03/09/2020,21:50:00,0,G
Flow_cfs,03/09/2020,21:50:00,0.05,G
FlowVolume,03/09/2020,21:50:00,0.00,G
PT Level,03/09/2020,21:55:00,0.17,G
Aliquot_Num,03/09/2020,21:55:00,0,G
Flow_cfs,03/09/2020,21:55:00,0.04,G
FlowVolume,03/09/2020,21:55:00,0.00,G
PT Level,03/09/2020,22:00:00,0.17,G
Flow_cfs,03/09/2020,22:00:00,0.04,G
Aliquot_Num,03/09/2020,22:00:00,0,G
FlowVolume,03/09/2020,22:00:00,0.00,G
PT Level,03/09/2020,22:05:00,0.17,G
Flow_cfs,03/09/2020,22:05:00,0.04,G
Aliquot_Num,03/09/2020,22:05:00,0,G
FlowVolume,03/09/2020,22:05:00,0.00,G
PT Level,03/09/2020,22:10:00,0.17,G
Aliquot_Num,03/09/2020,22:10:00,0,G
Flow_cfs,03/09/2020,22:10:00,0.04,G
FlowVolume,03/09/2020,22:10:00,0.00,G
PT Level,03/09/2020,22:15:00,0.19,G
Aliquot_Num,03/09/2020,22:15:00,0,G
Flow_cfs,03/09/2020,22:15:00,0.05,G
FlowVolume,03/09/2020,22:15:00,0.00,G
PT Level,03/09/2020,22:20:00,0.17,G
Flow_cfs,03/09/2020,22:20:00,0.04,G
Aliquot_Num,03/09/2020,22:20:00,0,G
FlowVolume,03/09/2020,22:20:00,0.00,G
PT Level,03/09/2020,22:25:00,0.18,G
Flow_cfs,03/09/2020,22:25:00,0.05,G
Aliquot_Num,03/09/2020,22:25:00,0,G
FlowVolume,03/09/2020,22:25:00,0.00,G
PT Level,03/09/2020,22:30:00,0.20,G
Aliquot_Num,03/09/2020,22:30:00,0,G
Flow_cfs,03/09/2020,22:30:00,0.05,G
FlowVolume,03/09/2020,22:30:00,0.00,G
PT Level,03/09/2020,22:35:00,0.21,G
Aliquot_Num,03/09/2020,22:35:00,0,G
Flow_cfs,03/09/2020,22:35:00,0.05,G
FlowVolume,03/09/2020,22:35:00,0.00,G
PT Level,03/09/2020,22:40:00,0.18,G
Flow_cfs,03/09/2020,22:40:00,0.05,G
Aliquot_Num,03/09/2020,22:40:00,0,G
FlowVolume,03/09/2020,22:40:00,0.00,G
PT Level,03/09/2020,22:45:00,0.20,G
Aliquot_Num,03/09/2020,22:45:00,0,G
Flow_cfs,03/09/2020,22:45:00,0.05,G
FlowVolume,03/09/2020,22:45:00,0.00,G
PT Level,03/09/2020,22:50:00,0.21,G
Aliquot_Num,03/09/2020,22:50:00,0,G
Flow_cfs,03/09/2020,22:50:00,0.05,G
FlowVolume,03/09/2020,22:50:00,0.00,G
PT Level,03/09/2020,22:55:00,0.20,G
Aliquot_Num,03/09/2020,22:55:00,0,G
Flow_cfs,03/09/2020,22:55:00,0.05,G
FlowVolume,03/09/2020,22:55:00,0.00,G
PT Level,03/09/2020,23:00:00,0.22,G
Flow_cfs,03/09/2020,23:00:00,0.06,G
Aliquot_Num,03/09/2020,23:00:00,0,G
FlowVolume,03/09/2020,23:00:00,0.00,G
PT Level,03/09/2020,23:05:00,0.19,G
Aliquot_Num,03/09/2020,23:05:00,0,G
Flow_cfs,03/09/2020,23:05:00,0.05,G
FlowVolume,03/09/2020,23:05:00,0.00,G
PT Level,03/09/2020,23:10:00,0.19,G
Aliquot_Num,03/09/2020,23:10:00,0,G
Flow_cfs,03/09/2020,23:10:00,0.05,G
FlowVolume,03/09/2020,23:10:00,0.00,G
PT Level,03/09/2020,23:15:00,0.19,G
Flow_cfs,03/09/2020,23:15:00,0.05,G
Aliquot_Num,03/09/2020,23:15:00,0,G
FlowVolume,03/09/2020,23:15:00,0.00,G
PT Level,03/09/2020,23:20:00,0.21,G
Flow_cfs,03/09/2020,23:20:00,0.05,G
Aliquot_Num,03/09/2020,23:20:00,0,G
FlowVolume,03/09/2020,23:20:00,0.00,G
PT Level,03/09/2020,23:25:00,0.23,G
Aliquot_Num,03/09/2020,23:25:00,0,G
Flow_cfs,03/09/2020,23:25:00,0.06,G
FlowVolume,03/09/2020,23:25:00,0.00,G
PT Level,03/09/2020,23:30:00,0.28,G
Aliquot_Num,03/09/2020,23:30:00,0,G
