Station Name,model and version,XL2 S/N
LakeHodges_SDGCRK,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911367
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,-7.750000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
PT Level,03/19/2020,00:00:00,-0.34,G
Aliquot_Num,03/19/2020,00:00:00,0,G
Flow_cfs,03/19/2020,00:00:00,0.00,G
Curr_pacing,03/19/2020,00:00:00,1000.00,G
FlowVolume,03/19/2020,00:00:00,21.72,G
PT Level,03/19/2020,00:01:00,-0.34,G
Flow_cfs,03/19/2020,00:01:00,0.00,G
FlowVolume,03/19/2020,00:01:00,21.72,G
PT Level,03/19/2020,00:02:00,-0.33,G
Flow_cfs,03/19/2020,00:02:00,0.00,G
FlowVolume,03/19/2020,00:02:00,21.72,G
PT Level,03/19/2020,00:03:00,-0.34,G
Flow_cfs,03/19/2020,00:03:00,0.00,G
FlowVolume,03/19/2020,00:03:00,21.72,G
PT Level,03/19/2020,00:04:00,-0.34,G
Flow_cfs,03/19/2020,00:04:00,0.00,G
FlowVolume,03/19/2020,00:04:00,21.72,G
PT Level,03/19/2020,00:05:00,-0.34,G
Aliquot_Num,03/19/2020,00:05:00,0,G
Flow_cfs,03/19/2020,00:05:00,0.00,G
Curr_pacing,03/19/2020,00:05:00,1000.00,G
FlowVolume,03/19/2020,00:05:00,21.72,G
PT Level,03/19/2020,00:06:00,-0.34,G
Flow_cfs,03/19/2020,00:06:00,0.00,G
FlowVolume,03/19/2020,00:06:00,21.72,G
PT Level,03/19/2020,00:07:00,-0.34,G
Flow_cfs,03/19/2020,00:07:00,0.00,G
FlowVolume,03/19/2020,00:07:00,21.72,G
PT Level,03/19/2020,00:08:00,-0.34,G
Flow_cfs,03/19/2020,00:08:00,0.00,G
FlowVolume,03/19/2020,00:08:00,21.72,G
PT Level,03/19/2020,00:09:00,-0.36,G
Flow_cfs,03/19/2020,00:09:00,0.00,G
FlowVolume,03/19/2020,00:09:00,21.72,G
PT Level,03/19/2020,00:10:00,-0.33,G
Aliquot_Num,03/19/2020,00:10:00,0,G
Flow_cfs,03/19/2020,00:10:00,0.00,G
Curr_pacing,03/19/2020,00:10:00,1000.00,G
FlowVolume,03/19/2020,00:10:00,21.72,G
PT Level,03/19/2020,00:11:00,-0.34,G
Flow_cfs,03/19/2020,00:11:00,0.00,G
FlowVolume,03/19/2020,00:11:00,21.72,G
PT Level,03/19/2020,00:12:00,-0.32,G
Flow_cfs,03/19/2020,00:12:00,0.00,G
FlowVolume,03/19/2020,00:12:00,21.72,G
PT Level,03/19/2020,00:13:00,-0.36,G
Flow_cfs,03/19/2020,00:13:00,0.00,G
FlowVolume,03/19/2020,00:13:00,21.72,G
PT Level,03/19/2020,00:14:00,-0.35,G
Flow_cfs,03/19/2020,00:14:00,0.00,G
FlowVolume,03/19/2020,00:14:00,21.72,G
PT Level,03/19/2020,00:15:00,-0.32,G
Flow_cfs,03/19/2020,00:15:00,0.00,G
Aliquot_Num,03/19/2020,00:15:00,0,G
Curr_pacing,03/19/2020,00:15:00,1000.00,G
FlowVolume,03/19/2020,00:15:00,21.72,G
PT Level,03/19/2020,00:16:00,-0.34,G
Flow_cfs,03/19/2020,00:16:00,0.00,G
FlowVolume,03/19/2020,00:16:00,21.72,G
PT Level,03/19/2020,00:17:00,-0.33,G
Flow_cfs,03/19/2020,00:17:00,0.00,G
FlowVolume,03/19/2020,00:17:00,21.72,G
PT Level,03/19/2020,00:18:00,-0.33,G
Flow_cfs,03/19/2020,00:18:00,0.00,G
FlowVolume,03/19/2020,00:18:00,21.72,G
PT Level,03/19/2020,00:19:00,-0.34,G
Flow_cfs,03/19/2020,00:19:00,0.00,G
FlowVolume,03/19/2020,00:19:00,21.72,G
PT Level,03/19/2020,00:20:00,-0.34,G
Aliquot_Num,03/19/2020,00:20:00,0,G
Flow_cfs,03/19/2020,00:20:00,0.00,G
Curr_pacing,03/19/2020,00:20:00,1000.00,G
FlowVolume,03/19/2020,00:20:00,21.72,G
PT Level,03/19/2020,00:21:00,-0.34,G
Flow_cfs,03/19/2020,00:21:00,0.00,G
FlowVolume,03/19/2020,00:21:00,21.72,G
PT Level,03/19/2020,00:22:00,-0.34,G
Flow_cfs,03/19/2020,00:22:00,0.00,G
FlowVolume,03/19/2020,00:22:00,21.72,G
PT Level,03/19/2020,00:23:00,-0.34,G
Flow_cfs,03/19/2020,00:23:00,0.00,G
FlowVolume,03/19/2020,00:23:00,21.72,G
PT Level,03/19/2020,00:24:00,-0.33,G
Flow_cfs,03/19/2020,00:24:00,0.00,G
FlowVolume,03/19/2020,00:24:00,21.72,G
PT Level,03/19/2020,00:25:00,-0.34,G
Aliquot_Num,03/19/2020,00:25:00,0,G
Flow_cfs,03/19/2020,00:25:00,0.00,G
Curr_pacing,03/19/2020,00:25:00,1000.00,G
FlowVolume,03/19/2020,00:25:00,21.72,G
PT Level,03/19/2020,00:26:00,-0.34,G
Flow_cfs,03/19/2020,00:26:00,0.00,G
FlowVolume,03/19/2020,00:26:00,21.72,G
PT Level,03/19/2020,00:27:00,-0.35,G
Flow_cfs,03/19/2020,00:27:00,0.00,G
FlowVolume,03/19/2020,00:27:00,21.72,G
PT Level,03/19/2020,00:28:00,-0.37,G
Flow_cfs,03/19/2020,00:28:00,0.00,G
FlowVolume,03/19/2020,00:28:00,21.72,G
PT Level,03/19/2020,00:29:00,-0.34,G
Flow_cfs,03/19/2020,00:29:00,0.00,G
FlowVolume,03/19/2020,00:29:00,21.72,G
PT Level,03/19/2020,00:30:00,-0.34,G
Aliquot_Num,03/19/2020,00:30:00,0,G
Flow_cfs,03/19/2020,00:30:00,0.00,G
Curr_pacing,03/19/2020,00:30:00,1000.00,G
FlowVolume,03/19/2020,00:30:00,21.72,G
PT Level,03/19/2020,00:31:00,-0.34,G
Flow_cfs,03/19/2020,00:31:00,0.00,G
FlowVolume,03/19/2020,00:31:00,21.72,G
PT Level,03/19/2020,00:32:00,-0.33,G
Flow_cfs,03/19/2020,00:32:00,0.00,G
FlowVolume,03/19/2020,00:32:00,21.72,G
PT Level,03/19/2020,00:33:00,-0.33,G
Flow_cfs,03/19/2020,00:33:00,0.00,G
FlowVolume,03/19/2020,00:33:00,21.72,G
PT Level,03/19/2020,00:34:00,-0.33,G
Flow_cfs,03/19/2020,00:34:00,0.00,G
FlowVolume,03/19/2020,00:34:00,21.72,G
PT Level,03/19/2020,00:35:00,-0.33,G
Flow_cfs,03/19/2020,00:35:00,0.00,G
Aliquot_Num,03/19/2020,00:35:00,0,G
Curr_pacing,03/19/2020,00:35:00,1000.00,G
FlowVolume,03/19/2020,00:35:00,21.72,G
PT Level,03/19/2020,00:36:00,-0.34,G
Flow_cfs,03/19/2020,00:36:00,0.00,G
FlowVolume,03/19/2020,00:36:00,21.72,G
PT Level,03/19/2020,00:37:00,-0.34,G
Flow_cfs,03/19/2020,00:37:00,0.00,G
FlowVolume,03/19/2020,00:37:00,21.72,G
PT Level,03/19/2020,00:38:00,-0.33,G
Flow_cfs,03/19/2020,00:38:00,0.00,G
FlowVolume,03/19/2020,00:38:00,21.72,G
PT Level,03/19/2020,00:39:00,-0.33,G
Flow_cfs,03/19/2020,00:39:00,0.00,G
FlowVolume,03/19/2020,00:39:00,21.72,G
PT Level,03/19/2020,00:40:00,-0.33,G
Flow_cfs,03/19/2020,00:40:00,0.00,G
Aliquot_Num,03/19/2020,00:40:00,0,G
Curr_pacing,03/19/2020,00:40:00,1000.00,G
FlowVolume,03/19/2020,00:40:00,21.72,G
PT Level,03/19/2020,00:41:00,-0.33,G
Flow_cfs,03/19/2020,00:41:00,0.00,G
FlowVolume,03/19/2020,00:41:00,21.72,G
PT Level,03/19/2020,00:42:00,-0.33,G
Flow_cfs,03/19/2020,00:42:00,0.00,G
FlowVolume,03/19/2020,00:42:00,21.72,G
PT Level,03/19/2020,00:43:00,-0.33,G
Flow_cfs,03/19/2020,00:43:00,0.00,G
FlowVolume,03/19/2020,00:43:00,21.72,G
PT Level,03/19/2020,00:44:00,-0.33,G
Flow_cfs,03/19/2020,00:44:00,0.00,G
FlowVolume,03/19/2020,00:44:00,21.72,G
PT Level,03/19/2020,00:45:00,-0.33,G
Aliquot_Num,03/19/2020,00:45:00,0,G
Flow_cfs,03/19/2020,00:45:00,0.00,G
Curr_pacing,03/19/2020,00:45:00,1000.00,G
FlowVolume,03/19/2020,00:45:00,21.72,G
PT Level,03/19/2020,00:46:00,-0.32,G
