Station Name,model and version,XL2 S/N
LakeHodges_CLOVERDALE,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911374
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/09/2020,00:00:00,PT Level,31.64,in,G
04/09/2020,00:00:00,Aliquot_Num,4,ali,G
04/09/2020,00:00:00,Flow_cfs,127.52,,G
04/09/2020,00:00:00,Curr_pacing,1000000.00,,G
04/09/2020,00:00:00,FlowVolume,322964.56,,G
04/09/2020,00:01:00,PT Level,31.63,in,G
04/09/2020,00:01:00,Flow_cfs,127.50,,G
04/09/2020,00:01:00,FlowVolume,330614.56,,G
04/09/2020,00:02:00,PT Level,31.62,in,G
04/09/2020,00:02:00,Flow_cfs,127.48,,G
04/09/2020,00:02:00,FlowVolume,338263.55,,G
04/09/2020,00:03:00,PT Level,31.63,in,G
04/09/2020,00:03:00,Flow_cfs,127.50,,G
04/09/2020,00:03:00,FlowVolume,345913.55,,G
04/09/2020,00:04:00,PT Level,31.63,in,G
04/09/2020,00:04:00,Flow_cfs,127.50,,G
04/09/2020,00:04:00,FlowVolume,353563.55,,G
04/09/2020,00:05:00,PT Level,31.61,in,G
04/09/2020,00:05:00,Aliquot_Num,4,ali,G
04/09/2020,00:05:00,Flow_cfs,127.47,,G
04/09/2020,00:05:00,Curr_pacing,1000000.00,,G
04/09/2020,00:05:00,FlowVolume,361211.52,,G
04/09/2020,00:06:00,PT Level,31.61,in,G
04/09/2020,00:06:00,Flow_cfs,127.47,,G
04/09/2020,00:06:00,FlowVolume,368859.49,,G
04/09/2020,00:07:00,PT Level,31.62,in,G
04/09/2020,00:07:00,Flow_cfs,127.48,,G
04/09/2020,00:07:00,FlowVolume,376508.48,,G
04/09/2020,00:08:00,PT Level,31.61,in,G
04/09/2020,00:08:00,Flow_cfs,127.47,,G
04/09/2020,00:08:00,FlowVolume,384156.45,,G
04/09/2020,00:09:00,PT Level,31.61,in,G
04/09/2020,00:09:00,Flow_cfs,127.47,,G
04/09/2020,00:09:00,FlowVolume,391804.43,,G
04/09/2020,00:10:00,PT Level,31.61,in,G
04/09/2020,00:10:00,Aliquot_Num,4,ali,G
04/09/2020,00:10:00,Flow_cfs,127.47,,G
04/09/2020,00:10:00,Curr_pacing,1000000.00,,G
04/09/2020,00:10:00,FlowVolume,399452.40,,G
04/09/2020,00:11:00,PT Level,31.59,in,G
04/09/2020,00:11:00,Flow_cfs,127.43,,G
04/09/2020,00:11:00,FlowVolume,407098.34,,G
04/09/2020,00:12:00,PT Level,31.60,in,G
04/09/2020,00:12:00,Flow_cfs,127.45,,G
04/09/2020,00:12:00,FlowVolume,414745.30,,G
04/09/2020,00:13:00,PT Level,31.59,in,G
04/09/2020,00:13:00,Flow_cfs,127.43,,G
04/09/2020,00:13:00,FlowVolume,422391.25,,G
04/09/2020,00:14:00,PT Level,31.57,in,G
04/09/2020,00:14:00,Flow_cfs,127.40,,G
04/09/2020,00:14:00,FlowVolume,430035.17,,G
04/09/2020,00:15:00,PT Level,31.58,in,G
04/09/2020,00:15:00,Aliquot_Num,4,ali,G
04/09/2020,00:15:00,Flow_cfs,127.42,,G
04/09/2020,00:15:00,Curr_pacing,1000000.00,,G
04/09/2020,00:15:00,FlowVolume,437680.10,,G
04/09/2020,00:16:00,PT Level,31.57,in,G
04/09/2020,00:16:00,Flow_cfs,127.40,,G
04/09/2020,00:16:00,FlowVolume,445324.02,,G
04/09/2020,00:17:00,PT Level,31.56,in,G
04/09/2020,00:17:00,Flow_cfs,127.38,,G
04/09/2020,00:17:00,FlowVolume,452966.93,,G
04/09/2020,00:18:00,PT Level,31.58,in,G
04/09/2020,00:18:00,Flow_cfs,127.42,,G
04/09/2020,00:18:00,FlowVolume,460611.86,,G
