Station Name,model and version,XL2 S/N
LakeHodges_DELDIOS,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911381
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/09/2020,00:00:00,PT Level,3.90,in,G
04/09/2020,00:00:00,Aliquot_Num,4,ali,G
04/09/2020,00:00:00,Flow_cfs,0.17,,G
04/09/2020,00:00:00,Curr_pacing,1000.00,,G
04/09/2020,00:00:00,FlowVolume,353.54,,G
04/09/2020,00:01:00,PT Level,3.86,in,G
04/09/2020,00:01:00,Flow_cfs,0.17,,G
04/09/2020,00:01:00,FlowVolume,363.81,,G
04/09/2020,00:02:00,PT Level,3.90,in,G
04/09/2020,00:02:00,Flow_cfs,0.17,,G
04/09/2020,00:02:00,FlowVolume,374.19,,G
04/09/2020,00:03:00,PT Level,3.92,in,G
04/09/2020,00:03:00,Flow_cfs,0.17,,G
04/09/2020,00:03:00,FlowVolume,384.62,,G
04/09/2020,00:04:00,PT Level,3.90,in,G
04/09/2020,00:04:00,Flow_cfs,0.17,,G
04/09/2020,00:04:00,FlowVolume,395.00,,G
04/09/2020,00:05:00,PT Level,3.82,in,G
04/09/2020,00:05:00,Aliquot_Num,4,ali,G
04/09/2020,00:05:00,Flow_cfs,0.17,,G
04/09/2020,00:05:00,Curr_pacing,1000.00,,G
04/09/2020,00:05:00,FlowVolume,405.16,,G
04/09/2020,00:06:00,PT Level,3.84,in,G
04/09/2020,00:06:00,Flow_cfs,0.17,,G
04/09/2020,00:06:00,FlowVolume,415.38,,G
04/09/2020,00:07:00,PT Level,3.80,in,G
04/09/2020,00:07:00,Flow_cfs,0.17,,G
04/09/2020,00:07:00,FlowVolume,425.49,,G
04/09/2020,00:08:00,PT Level,3.98,in,G
04/09/2020,00:08:00,Flow_cfs,0.18,,G
04/09/2020,00:08:00,FlowVolume,436.08,,G
04/09/2020,00:09:00,PT Level,3.88,in,G
04/09/2020,00:09:00,Flow_cfs,0.17,,G
04/09/2020,00:09:00,FlowVolume,446.40,,G
04/09/2020,00:10:00,PT Level,3.82,in,G
04/09/2020,00:10:00,Aliquot_Num,4,ali,G
04/09/2020,00:10:00,Flow_cfs,0.17,,G
04/09/2020,00:10:00,Curr_pacing,1000.00,,G
04/09/2020,00:10:00,FlowVolume,456.57,,G
04/09/2020,00:11:00,PT Level,3.84,in,G
04/09/2020,00:11:00,Flow_cfs,0.17,,G
04/09/2020,00:11:00,FlowVolume,466.79,,G
04/09/2020,00:12:00,PT Level,3.88,in,G
04/09/2020,00:12:00,Flow_cfs,0.17,,G
04/09/2020,00:12:00,FlowVolume,477.11,,G
04/09/2020,00:13:00,PT Level,3.87,in,G
04/09/2020,00:13:00,Flow_cfs,0.17,,G
04/09/2020,00:13:00,FlowVolume,487.41,,G
04/09/2020,00:14:00,PT Level,3.90,in,G
04/09/2020,00:14:00,Flow_cfs,0.17,,G
04/09/2020,00:14:00,FlowVolume,497.78,,G
04/09/2020,00:15:00,PT Level,3.87,in,G
04/09/2020,00:15:00,Aliquot_Num,4,ali,G
04/09/2020,00:15:00,Flow_cfs,0.17,,G
04/09/2020,00:15:00,Curr_pacing,1000.00,,G
04/09/2020,00:15:00,FlowVolume,508.08,,G
04/09/2020,00:16:00,PT Level,3.88,in,G
04/09/2020,00:16:00,Flow_cfs,0.17,,G
