Station Name,model and version,XL2 S/N
LakeHodges_KITCARSON,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911373
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_Pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/09/2020,00:00:00,PT Level,7.48,in,G
04/09/2020,00:00:00,Aliquot_Num,6,ali,G
04/09/2020,00:00:00,Flow_cfs,27.88,,G
04/09/2020,00:00:00,Curr_Pacing,150000,,G
04/09/2020,00:00:00,FlowVolume,23680.01,,G
04/09/2020,00:01:00,PT Level,7.52,in,G
04/09/2020,00:01:00,Aliquot_Num,6,ali,G
04/09/2020,00:01:00,Flow_cfs,28.04,,G
04/09/2020,00:01:00,Curr_Pacing,150000,,G
04/09/2020,00:01:00,FlowVolume,25362.31,,G
04/09/2020,00:02:00,PT Level,7.55,in,G
04/09/2020,00:02:00,Aliquot_Num,6,ali,G
04/09/2020,00:02:00,Flow_cfs,28.15,,G
04/09/2020,00:02:00,Curr_Pacing,150000,,G
04/09/2020,00:02:00,FlowVolume,27051.55,,G
04/09/2020,00:03:00,PT Level,7.48,in,G
04/09/2020,00:03:00,Aliquot_Num,6,ali,G
04/09/2020,00:03:00,Flow_cfs,27.88,,G
04/09/2020,00:03:00,Curr_Pacing,150000,,G
04/09/2020,00:03:00,FlowVolume,28724.62,,G
04/09/2020,00:04:00,PT Level,7.48,in,G
04/09/2020,00:04:00,Aliquot_Num,6,ali,G
04/09/2020,00:04:00,Flow_cfs,27.88,,G
04/09/2020,00:04:00,Curr_Pacing,150000,,G
04/09/2020,00:04:00,FlowVolume,30397.70,,G
04/09/2020,00:05:00,PT Level,7.46,in,G
04/09/2020,00:05:00,Aliquot_Num,6,ali,G
04/09/2020,00:05:00,Flow_cfs,27.81,,G
04/09/2020,00:05:00,Curr_Pacing,150000,,G
04/09/2020,00:05:00,FlowVolume,32066.16,,G
04/09/2020,00:06:00,PT Level,7.52,in,G
04/09/2020,00:06:00,Flow_cfs,28.04,,G
04/09/2020,00:06:00,Aliquot_Num,6,ali,G
04/09/2020,00:06:00,Curr_Pacing,150000,,G
04/09/2020,00:06:00,FlowVolume,33748.47,,G
04/09/2020,00:07:00,PT Level,7.49,in,G
04/09/2020,00:07:00,Aliquot_Num,6,ali,G
04/09/2020,00:07:00,Flow_cfs,27.92,,G
04/09/2020,00:07:00,Curr_Pacing,150000,,G
04/09/2020,00:07:00,FlowVolume,35423.85,,G
04/09/2020,00:08:00,PT Level,7.48,in,G
04/09/2020,00:08:00,Aliquot_Num,6,ali,G
04/09/2020,00:08:00,Flow_cfs,27.88,,G
04/09/2020,00:08:00,Curr_Pacing,150000,,G
04/09/2020,00:08:00,FlowVolume,37096.93,,G
04/09/2020,00:09:00,PT Level,7.44,in,G
04/09/2020,00:09:00,Aliquot_Num,6,ali,G
04/09/2020,00:09:00,Flow_cfs,27.73,,G
04/09/2020,00:09:00,Curr_Pacing,150000,,G
04/09/2020,00:09:00,FlowVolume,38760.78,,G
04/09/2020,00:10:00,PT Level,7.49,in,G
04/09/2020,00:10:00,Aliquot_Num,6,ali,G
04/09/2020,00:10:00,Flow_cfs,27.92,,G
04/09/2020,00:10:00,Curr_Pacing,150000,,G
04/09/2020,00:10:00,FlowVolume,40436.16,,G
04/09/2020,00:11:00,PT Level,7.44,in,G
04/09/2020,00:11:00,Aliquot_Num,6,ali,G
04/09/2020,00:11:00,Flow_cfs,27.73,,G
04/09/2020,00:11:00,Curr_Pacing,150000,,G
04/09/2020,00:11:00,FlowVolume,42100.01,,G
04/09/2020,00:12:00,PT Level,7.47,in,G
04/09/2020,00:12:00,Aliquot_Num,6,ali,G
04/09/2020,00:12:00,Flow_cfs,27.85,,G
04/09/2020,00:12:00,Curr_Pacing,150000,,G
04/09/2020,00:12:00,FlowVolume,43770.78,,G
04/09/2020,00:13:00,PT Level,7.50,in,G
04/09/2020,00:13:00,Aliquot_Num,6,ali,G
04/09/2020,00:13:00,Flow_cfs,27.96,,G
04/09/2020,00:13:00,Curr_Pacing,150000,,G
04/09/2020,00:13:00,FlowVolume,45448.47,,G
04/09/2020,00:14:00,PT Level,7.47,in,G
04/09/2020,00:14:00,Aliquot_Num,6,ali,G
04/09/2020,00:14:00,Flow_cfs,27.85,,G
04/09/2020,00:14:00,Curr_Pacing,150000,,G
04/09/2020,00:14:00,FlowVolume,47119.24,,G
04/09/2020,00:15:00,PT Level,7.47,in,G
04/09/2020,00:15:00,Aliquot_Num,6,ali,G
04/09/2020,00:15:00,Flow_cfs,27.85,,G
04/09/2020,00:15:00,Curr_Pacing,150000,,G
04/09/2020,00:15:00,FlowVolume,48790.01,,G
04/09/2020,00:16:00,PT Level,7.44,in,G
04/09/2020,00:16:00,Aliquot_Num,6,ali,G
04/09/2020,00:16:00,Flow_cfs,27.73,,G
04/09/2020,00:16:00,Curr_Pacing,150000,,G
04/09/2020,00:16:00,FlowVolume,50453.85,,G
04/09/2020,00:17:00,PT Level,7.43,in,G
04/09/2020,00:17:00,Aliquot_Num,6,ali,G
04/09/2020,00:17:00,Flow_cfs,27.69,,G
04/09/2020,00:17:00,Curr_Pacing,150000,,G
04/09/2020,00:17:00,FlowVolume,52115.39,,G
04/09/2020,00:18:00,PT Level,7.44,in,G
04/09/2020,00:18:00,Aliquot_Num,6,ali,G
04/09/2020,00:18:00,Flow_cfs,27.73,,G
04/09/2020,00:18:00,Curr_Pacing,150000,,G
04/09/2020,00:18:00,FlowVolume,53779.24,,G
04/09/2020,00:19:00,PT Level,7.46,in,G
04/09/2020,00:19:00,Aliquot_Num,6,ali,G
04/09/2020,00:19:00,Flow_cfs,27.81,,G
04/09/2020,00:19:00,Curr_Pacing,150000,,G
04/09/2020,00:19:00,FlowVolume,55447.70,,G
04/09/2020,00:20:00,PT Level,7.48,in,G
04/09/2020,00:20:00,Aliquot_Num,6,ali,G
04/09/2020,00:20:00,Flow_cfs,27.88,,G
04/09/2020,00:20:00,Curr_Pacing,150000,,G
04/09/2020,00:20:00,FlowVolume,57120.78,,G
04/09/2020,00:21:00,PT Level,7.44,in,G
04/09/2020,00:21:00,Aliquot_Num,6,ali,G
04/09/2020,00:21:00,Flow_cfs,27.73,,G
04/09/2020,00:21:00,Curr_Pacing,150000,,G
04/09/2020,00:21:00,FlowVolume,58784.62,,G
04/09/2020,00:22:00,PT Level,7.44,in,G
04/09/2020,00:22:00,Aliquot_Num,6,ali,G
04/09/2020,00:22:00,Flow_cfs,27.73,,G
04/09/2020,00:22:00,Curr_Pacing,150000,,G
04/09/2020,00:22:00,FlowVolume,60448.47,,G
04/09/2020,00:23:00,PT Level,7.43,in,G
04/09/2020,00:23:00,Aliquot_Num,6,ali,G
04/09/2020,00:23:00,Flow_cfs,27.69,,G
04/09/2020,00:23:00,Curr_Pacing,150000,,G
04/09/2020,00:23:00,FlowVolume,62110.01,,G
04/09/2020,00:24:00,PT Level,7.44,in,G
04/09/2020,00:24:00,Aliquot_Num,6,ali,G
04/09/2020,00:24:00,Flow_cfs,27.73,,G
04/09/2020,00:24:00,Curr_Pacing,150000,,G
04/09/2020,00:24:00,FlowVolume,63773.85,,G
04/09/2020,00:25:00,PT Level,7.43,in,G
04/09/2020,00:25:00,Aliquot_Num,6,ali,G
04/09/2020,00:25:00,Flow_cfs,27.69,,G
04/09/2020,00:25:00,Curr_Pacing,150000,,G
04/09/2020,00:25:00,FlowVolume,65435.39,,G
04/09/2020,00:26:00,PT Level,7.43,in,G
04/09/2020,00:26:00,Aliquot_Num,6,ali,G
04/09/2020,00:26:00,Flow_cfs,27.69,,G
04/09/2020,00:26:00,Curr_Pacing,150000,,G
04/09/2020,00:26:00,FlowVolume,67096.93,,G
04/09/2020,00:27:00,PT Level,7.46,in,G
04/09/2020,00:27:00,Aliquot_Num,6,ali,G
04/09/2020,00:27:00,Flow_cfs,27.81,,G
04/09/2020,00:27:00,Curr_Pacing,150000,,G
04/09/2020,00:27:00,FlowVolume,68765.39,,G
