,Level_in,Flow_gpm
0,0.0,-0.0
1,0.125,0.280514638644
2,0.143,0.419750586159
3,0.152,0.501703141627
4,0.16,0.581737515629
5,0.162,0.602824741697
6,0.169,0.680086722492
7,0.17,0.691567404218
8,0.177,0.775079328969
9,0.179,0.799960781978
10,0.186,0.890670202365
11,0.187,0.904092907788
12,0.189,0.931289429254
13,0.194,1.0013424096
14,0.196,1.03019429553
15,0.197,1.0447993792
16,0.2,1.08933455782
17,0.203,1.13495546003
18,0.204,1.15040498448
19,0.206,1.18166950575
20,0.212,1.27840624644
21,0.213,1.29496104969
22,0.214,1.31163998909
23,0.215,1.32844332615
24,0.221,1.43189021198
25,0.223,1.46737937481
26,0.224,1.48531388698
27,0.23,1.59559575813
28,0.231,1.61442418281
29,0.233,1.65246733772
30,0.234,1.67168255407
31,0.235,1.69102718554
32,0.238,1.74983997331
33,0.24,1.78969996295
34,0.241,1.80982610833
35,0.242,1.83008333477
36,0.247,1.93334385574
37,0.248,1.95439246004
38,0.25,1.99688800732
39,0.251,2.01833540609
40,0.255,2.1054611138
41,0.257,2.14982877606
42,0.258,2.17221458874
43,0.259,2.19473535057
44,0.264,2.30937107122
45,0.265,2.33270612145
46,0.267,2.37978585538
47,0.268,2.40353096743
48,0.273,2.52431747682
49,0.274,2.54888844382
50,0.275,2.57359778749
51,0.276,2.59844571559
52,0.281,2.72477134389
53,0.282,2.75045510123
54,0.284,2.80224287369
55,0.285,2.82834729215
56,0.291,2.9879338493
57,0.292,3.01502679975
58,0.293,3.04226175774
59,0.299,3.20866454566
60,0.301,3.265276971
61,0.302,3.29379869876
62,0.306,3.40932678504
63,0.307,3.43857003863
64,0.308,3.4679581581
65,0.309,3.49749132888
66,0.311,3.55699356304
67,0.312,3.58696299418
68,0.316,3.70830040791
69,0.318,3.76984746634
70,0.319,3.80084121375
71,0.325,3.9898979767
72,0.326,4.02192479935
73,0.328,4.086423475
74,0.333,4.25027425858
75,0.335,4.31685981788
76,0.336,4.35037726044
77,0.343,4.5892087783
78,0.345,4.65880438408
79,0.346,4.69382935135
80,0.347,4.72900597989
81,0.351,4.87123236127
82,0.352,4.90716973243
83,0.353,4.94325973572
84,0.359,5.16301395424
85,0.36,5.20017683382
86,0.362,5.2749644426
87,0.366,5.42639140828
88,0.368,5.50303323296
89,0.369,5.54158676676
90,0.37,5.58029558442
91,0.377,5.85561792821
92,0.379,5.93568756957
93,0.383,6.09770936343
94,0.384,6.13860785512
95,0.386,6.22087750724
96,0.387,6.26224895641
97,0.39,6.38731151922
98,0.392,6.47147816734
99,0.394,6.55627942386
100,0.396,6.64171641522
101,0.4,6.81450207326
102,0.403,6.94576839625
103,0.404,6.98984401405
104,0.412,7.34823168873
105,0.413,7.39375500569
106,0.42,7.71694825971
107,0.421,7.76376744359
108,0.427,8.0481010057
109,0.429,8.14418419805
110,0.43,8.19247111606
111,0.437,8.53507057989
112,0.438,8.58467071424
113,0.443,8.83514445443
114,0.445,8.93649031799
115,0.447,9.03849841044
116,0.451,9.24450510381
117,0.454,9.40075554945
118,0.455,9.4531721202
119,0.458,9.61142273085
120,0.462,9.82476328967
121,0.464,9.93243838149
122,0.468,10.1498027331
123,0.471,10.3145919362
124,0.472,10.3698586352
125,0.476,10.5926132037
126,0.477,10.6487243382
127,0.481,10.8748621155
128,0.482,10.9318204107
129,0.488,11.2771387829
130,0.49,11.3936069217
131,0.494,11.6285912666
132,0.495,11.6877646405
133,0.497,11.8066248573
134,0.498,11.8663119056
135,0.499,11.9261703836
136,0.507,12.4112218475
137,0.51,12.5959569425
138,0.511,12.6578804419
139,0.515,12.9073027306
140,0.517,13.0330522145
141,0.522,13.3504606124
142,0.524,13.4786398553
143,0.527,13.6722138217
144,0.532,13.998323617
145,0.533,14.0640693899
146,0.536,14.2623559935
147,0.538,14.3954223794
148,0.539,14.4622184398
149,0.541,14.5963367468
150,0.542,14.6636591731
151,0.546,14.9347061129
152,0.547,15.0029076002
153,0.549,15.1398388952
154,0.55,15.208568878
155,0.551,15.2774752009
156,0.554,15.4852530783
157,0.555,15.5548656284
158,0.558,15.7647642548
159,0.559,15.8350844069
160,0.56,15.9055816723
161,0.562,16.0471078811
162,0.566,16.3322893634
163,0.567,16.4040287761
164,0.568,16.4759459718
165,0.569,16.5480410327
166,0.572,16.7653942296
167,0.573,16.8382015723
168,0.574,16.9111871894
169,0.575,16.9843511616
170,0.578,17.2049140163
171,0.579,17.2787922147
172,0.581,17.4270849608
173,0.582,17.5014996672
174,0.583,17.5760933679
175,0.584,17.6508661418
176,0.587,17.8762596865
177,0.59,18.1032677019
178,0.591,18.179296173
179,0.592,18.2555043386
180,0.594,18.4084600597
181,0.6,18.8716478086
182,0.601,18.9494766432
183,0.602,19.0274859275
184,0.603,19.1056757358
185,0.604,19.184046142
186,0.606,19.341329043
187,0.607,19.4202416846
188,0.608,19.4993352178
189,0.609,19.5786097153
190,0.61,19.6580652499
191,0.612,19.8175197191
192,0.613,19.8975187978
193,0.614,19.9776992016
194,0.617,20.2193290767
195,0.62,20.462593436
196,0.622,20.6256786608
197,0.623,20.7074941784
198,0.626,20.9540331845
199,0.629,21.2022123169
200,0.634,21.6194939322
201,0.636,21.7876855584
202,0.637,21.8720557063
203,0.638,21.9566088326
204,0.639,22.0413450035
205,0.64,22.126264285
206,0.641,22.2113667427
207,0.643,22.382121449
208,0.647,22.7258318455
209,0.648,22.81221836
210,0.651,23.0724803257
211,0.653,23.246907624
212,0.657,23.5979708612
213,0.66,23.8632028167
214,0.662,24.0409462522
215,0.664,24.2194279654
216,0.667,24.4885358704
217,0.669,24.6688654014
218,0.671,24.8499349005
219,0.676,25.3058491224
220,0.677,25.3975879474
221,0.679,25.5816220444
222,0.683,25.9519176445
223,0.686,26.2315901288
224,0.688,26.4189682477
225,0.689,26.5129364147
226,0.692,26.7959580161
227,0.694,26.9855705551
228,0.697,27.2713876717
229,0.701,27.655089623
230,0.703,27.8480611967
231,0.705,28.041780406
232,0.708,28.3337619631
233,0.711,28.6274280719
234,0.712,28.7256913627
235,0.713,28.8241420336
236,0.716,29.1206188406
237,0.717,29.2198195447
238,0.719,29.4187839102
239,0.72,29.5185476726
240,0.722,29.7186386074
241,0.723,29.8189658798
242,0.724,29.9194810885
243,0.728,30.3234222732
244,0.731,30.6283539005
245,0.734,30.934980473
246,0.737,31.243303285
247,0.74,31.553323617
248,0.743,31.8650427354
249,0.745,32.0737998705
250,0.75,32.5990007493
251,0.751,32.7046083813
252,0.754,33.0225669996
253,0.755,33.1289319283
254,0.756,33.2354862923
255,0.757,33.3422301355
256,0.76,33.6635989792
257,0.761,33.7711011771
258,0.762,33.8787930723
259,0.763,33.9866747077
260,0.764,34.0947461265
261,0.771,34.8565635637
262,0.774,35.1859077284
263,0.775,35.2960695519
264,0.776,35.4064216617
265,0.779,35.7386201159
266,0.78,35.8497337776
267,0.782,36.072532608
268,0.783,36.1842178569
269,0.786,36.5204174151
270,0.788,36.7455040246
271,0.789,36.8583335181
272,0.79,36.971353856
273,0.791,37.084565077
274,0.796,37.6534857733
275,0.798,37.8823915718
276,0.799,37.9971312334
277,0.8,38.1120621199
278,0.803,38.4580024994
279,0.804,38.5736986557
280,0.805,38.6895862214
281,0.806,38.8056652329
282,0.808,39.0383977388
283,0.811,39.3889332451
284,0.812,39.5061616896
285,0.813,39.6235818312
286,0.814,39.7411937052
287,0.817,40.0951800726
288,0.818,40.2135592264
289,0.821,40.569848266
290,0.822,40.688995253
291,0.823,40.8083342836
292,0.825,41.0475886113
293,0.826,41.1675039757
294,0.827,41.2876115184
295,0.828,41.4079112728
296,0.83,41.6490875489
