,Level_in,Flow_cfs
0,0,0
1,0.01,5.19E-06
2,0.02,2.33E-05
3,0.03,5.60E-05
4,0.04,0.000104516
5,0.05,0.000169478
6,0.06,0.000251554
7,0.07,0.000351269
8,0.08,0.00046908
9,0.09,0.000605389
10,0.1,0.000760559
11,0.11,0.00093492
12,0.12,0.001128773
13,0.13,0.001342398
14,0.14,0.001576056
15,0.15,0.001829989
16,0.16,0.002104428
17,0.17,0.002399588
18,0.18,0.002715674
19,0.19,0.00305288
20,0.2,0.003411393
21,0.21,0.003791388
22,0.22,0.004193036
23,0.23,0.004616499
24,0.24,0.005061933
25,0.25,0.005529488
26,0.26,0.00601931
27,0.27,0.006531538
28,0.28,0.007066307
29,0.29,0.007623749
30,0.3,0.008203989
31,0.31,0.008807151
32,0.32,0.009433354
33,0.33,0.010082714
34,0.34,0.010755342
35,0.35,0.01145135
36,0.36,0.012170844
37,0.37,0.012913927
38,0.38,0.013680701
39,0.39,0.014471264
40,0.4,0.015285715
41,0.41,0.016124146
42,0.42,0.016986649
43,0.43,0.017873316
44,0.44,0.018784235
45,0.45,0.01971949
46,0.46,0.020679168
47,0.47,0.021663351
48,0.48,0.02267212
49,0.49,0.023705554
50,0.5,0.024763731
51,0.51,0.025846729
52,0.52,0.026954622
53,0.53,0.028087483
54,0.54,0.029245386
55,0.55,0.030428401
56,0.56,0.031636598
57,0.57,0.032870046
58,0.58,0.034128813
59,0.59,0.035412964
60,0.6,0.036722565
61,0.61,0.03805768
62,0.62,0.039418372
63,0.63,0.040804704
64,0.64,0.042216737
65,0.65,0.043654531
66,0.66,0.045118146
67,0.67,0.046607639
68,0.68,0.048123069
69,0.69,0.049664493
70,0.7,0.051231966
71,0.71,0.052825544
72,0.72,0.054445281
73,0.73,0.05609123
74,0.74,0.057763446
75,0.75,0.059461979
76,0.76,0.061186881
77,0.77,0.062938204
78,0.78,0.064715996
79,0.79,0.066520309
80,0.8,0.06835119
81,0.81,0.070208689
82,0.82,0.072092851
83,0.83,0.074003726
84,0.84,0.075941358
85,0.85,0.077905794
86,0.86,0.079897079
87,0.87,0.081915259
88,0.88,0.083960376
89,0.89,0.086032476
90,0.9,0.0881316
91,0.91,0.090257793
92,0.92,0.092411095
93,0.93,0.094591549
94,0.94,0.096799196
95,0.95,0.099034077
96,0.96,0.101296232
97,0.97,0.103585701
98,0.98,0.105902523
99,0.99,0.108246738
100,1,0.110618384
101,1.01,0.113017499
102,1.02,0.11544412
103,1.03,0.117898287
104,1.04,0.120380034
105,1.05,0.122889399
106,1.06,0.125426419
107,1.07,0.127991128
108,1.08,0.130583563
109,1.09,0.133203758
110,1.1,0.135851748
111,1.11,0.138527568
112,1.12,0.141231251
113,1.13,0.143962832
114,1.14,0.146722343
115,1.15,0.149509819
116,1.16,0.152325291
117,1.17,0.155168791
118,1.18,0.158040353
119,1.19,0.160940008
120,1.2,0.163867787
121,1.21,0.166823721
122,1.22,0.169807842
123,1.23,0.17282018
124,1.24,0.175860765
125,1.25,0.178929627
126,1.26,0.182026797
127,1.27,0.185152303
128,1.28,0.188306175
129,1.29,0.191488442
130,1.3,0.194699133
131,1.31,0.197938275
132,1.32,0.201205897
133,1.33,0.204502027
134,1.34,0.207826694
135,1.35,0.211179923
136,1.36,0.214561742
137,1.37,0.217972179
138,1.38,0.22141126
139,1.39,0.224879011
140,1.4,0.228375459
141,1.41,0.231900629
142,1.42,0.235454549
143,1.43,0.239037242
144,1.44,0.242648735
145,1.45,0.246289052
146,1.46,0.24995822
147,1.47,0.253656261
148,1.48,0.257383201
149,1.49,0.261139065
150,1.5,0.264923876
151,1.51,0.268737658
152,1.52,0.272580434
153,1.53,0.27645223
154,1.54,0.280353067
155,1.55,0.284282969
156,1.56,0.288241959
157,1.57,0.292230059
158,1.58,0.296247293
159,1.59,0.300293682
160,1.6,0.304369249
161,1.61,0.308474016
162,1.62,0.312608005
163,1.63,0.316771237
164,1.64,0.320963733
165,1.65,0.325185517
166,1.66,0.329436607
167,1.67,0.333717026
168,1.68,0.338026794
169,1.69,0.342365933
170,1.7,0.346734461
171,1.71,0.351132401
172,1.72,0.355559772
173,1.73,0.360016593
174,1.74,0.364502886
175,1.75,0.369018669
176,1.76,0.373563963
177,1.77,0.378138786
178,1.78,0.382743158
179,1.79,0.387377099
180,1.8,0.392040626
181,1.81,0.39673376
182,1.82,0.401456518
183,1.83,0.406208919
184,1.84,0.410990982
185,1.85,0.415802725
186,1.86,0.420644166
187,1.87,0.425515323
188,1.88,0.430416214
189,1.89,0.435346857
190,1.9,0.440307269
191,1.91,0.445297468
192,1.92,0.450317471
193,1.93,0.455367295
194,1.94,0.460446957
195,1.95,0.465556475
196,1.96,0.470695866
197,1.97,0.475865145
198,1.98,0.481064329
199,1.99,0.486293436
200,2,0.491552481
201,2.01,0.49684148
202,2.02,0.50216045
203,2.03,0.507509407
204,2.04,0.512888366
205,2.05,0.518297343
206,2.06,0.523736355
207,2.07,0.529205415
208,2.08,0.534704541
209,2.09,0.540233747
210,2.1,0.545793048
211,2.11,0.551382459
212,2.12,0.557001996
213,2.13,0.562651673
214,2.14,0.568331505
215,2.15,0.574041507
216,2.16,0.579781693
217,2.17,0.585552077
218,2.18,0.591352675
219,2.19,0.5971835
220,2.2,0.603044566
221,2.21,0.608935887
222,2.22,0.614857478
223,2.23,0.620809352
224,2.24,0.626791522
225,2.25,0.632804003
226,2.26,0.638846809
227,2.27,0.644919951
228,2.28,0.651023445
229,2.29,0.657157302
230,2.3,0.663321537
231,2.31,0.669516161
232,2.32,0.675741189
233,2.33,0.681996633
234,2.34,0.688282506
235,2.35,0.694598821
236,2.36,0.70094559
237,2.37,0.707322825
238,2.38,0.713730539
239,2.39,0.720168745
240,2.4,0.726637455
241,2.41,0.73313668
242,2.42,0.739666433
243,2.43,0.746226726
244,2.44,0.752817571
245,2.45,0.759438979
246,2.46,0.766090963
247,2.47,0.772773533
248,2.48,0.779486703
249,2.49,0.786230482
250,2.5,0.793004882
251,2.51,0.799809916
252,2.52,0.806645593
253,2.53,0.813511925
254,2.54,0.820408924
255,2.55,0.8273366
256,2.56,0.834294964
257,2.57,0.841284027
258,2.58,0.848303799
259,2.59,0.855354293
260,2.6,0.862435517
261,2.61,0.869547483
262,2.62,0.876690201
263,2.63,0.883863681
264,2.64,0.891067934
265,2.65,0.89830297
266,2.66,0.905568799
267,2.67,0.912865432
268,2.68,0.920192878
269,2.69,0.927551147
270,2.7,0.934940249
271,2.71,0.942360195
272,2.72,0.949810993
